forecast_timestamp,team,group,spi,global_o,global_d,sim_wins,sim_ties,sim_losses,sim_goal_diff,goals_scored,goals_against,group_1,group_2,group_3,group_4,make_round_of_16,make_quarters,make_semis,make_final,win_league,timestamp
2022-11-16 16:00:55 UTC,Portugal,H,87.77456,2.78861,0.48293,1.74211,0.74742,0.51047,2.80761,5.18913,2.38152,0.53461,0.27626,0.13468,0.05445,0.81087,0.45583,0.26028,0.15248,0.07629,2022-11-20 18:02:33 UTC
2022-11-16 16:00:55 UTC,Germany,E,88.7737,3.17168,0.61922,1.65986,0.65542,0.68472,2.55211,5.8586,3.30649,0.40333,0.36091,0.18128,0.05448,0.76424,0.49584,0.24828,0.14385,0.07425,2022-11-20 18:02:33 UTC
2022-11-16 16:00:55 UTC,England,B,85.95712,2.553,0.45994,1.71265,0.79415,0.4932,2.62876,4.87722,2.24846,0.55445,0.24981,0.12986,0.06588,0.80426,0.51608,0.28996,0.14689,0.07136,2022-11-20 18:02:33 UTC
2022-11-16 16:00:55 UTC,Netherlands,A,86.01102,2.79647,0.58975,1.73222,0.71039,0.55739,2.89991,5.86382,2.96391,0.53223,0.25783,0.14552,0.06442,0.79006,0.4899,0.2666,0.11908,0.0596,2022-11-20 18:02:33 UTC
2022-11-16 16:00:55 UTC,Denmark,D,80.01595,2.2889,0.60196,1.31537,0.83937,0.84526,0.99315,4.09363,3.10048,0.29056,0.35779,0.22531,0.12634,0.64835,0.33253,0.16865,0.06883,0.02842,2022-11-20 18:02:33 UTC
2022-11-16 16:00:55 UTC,Uruguay,H,80.90448,2.25529,0.53963,1.32689,0.86229,0.81082,1.06659,3.96556,2.89897,0.29815,0.35459,0.22909,0.11817,0.65274,0.28244,0.13261,0.06615,0.02828,2022-11-20 18:02:33 UTC
2022-11-16 16:00:55 UTC,Belgium,F,82.49005,2.62457,0.6845,1.32798,0.8056,0.86642,1.04043,4.71514,3.67471,0.35643,0.26757,0.21261,0.16339,0.624,0.27365,0.12034,0.06141,0.02608,2022-11-20 18:02:33 UTC
2022-11-16 16:00:55 UTC,Croatia,F,78.84025,2.28577,0.65525,1.15695,0.84997,0.99308,0.32548,4.07091,3.74543,0.27547,0.26872,0.2432,0.21261,0.54419,0.21411,0.08819,0.04219,0.01702,2022-11-20 18:02:33 UTC
2022-11-16 16:00:55 UTC,Switzerland,G,77.64665,2.23118,0.67527,1.01246,0.79286,1.19468,-0.49222,3.61276,4.10498,0.13455,0.34406,0.30746,0.21393,0.47861,0.20741,0.0888,0.03948,0.01455,2022-11-20 18:02:33 UTC
2022-11-16 16:00:55 UTC,USA,B,74.83489,2.11382,0.7233,1.08538,0.87897,1.03565,0.07698,3.58459,3.50761,0.2214,0.30813,0.26353,0.20694,0.52953,0.24297,0.10082,0.03517,0.01304,2022-11-20 18:02:33 UTC
